t mart.s0 mart.sn aust.s0 aust.sn
2.236118e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.241121e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.246123e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.251126e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.256128e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.261131e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.266133e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.271136e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.276138e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.281141e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.286143e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.291146e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.296148e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.301151e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.306153e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.311156e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.316158e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.321161e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.326163e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.331166e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.336168e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.341171e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.346173e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.351176e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.356178e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.361181e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.366183e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.371186e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.376188e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.381191e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.386193e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.391196e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.396198e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.401201e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.406203e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.411206e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.416208e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.421211e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.426213e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.431216e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.436218e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.441221e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.446223e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.451226e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.456228e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.461231e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.466233e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.471236e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.476238e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.481241e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.486243e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.491246e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.496248e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.501251e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.506253e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.511256e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.516258e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.521261e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.526263e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.531266e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.536268e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.541271e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.546273e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.551276e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.556278e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.561281e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.566283e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.571286e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.576288e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.581291e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.586293e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.591296e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.596298e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.601301e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.606303e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.611306e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.616308e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.621311e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.626313e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.631316e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.636318e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.641321e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.646323e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.651326e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.656328e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.661331e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.666333e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.671336e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.676338e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.681341e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.686343e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.691346e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.696348e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.701351e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.706353e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.711356e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.716358e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.721361e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.726363e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.731366e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.736368e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.741371e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.746373e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
