mart_FoFo_CCEpara.log @ arthur-ltf
2018-06-22T20:44:57

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 1 (fixed.fluxes)

29200: t=920.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40105
29400: t=930.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40104
29600: t=940.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40102
29800: t=950.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40101
30000: t=960.000, cavg*=1.05675, r_mart=163.344, r_aust=2.401
30200: t=970.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40099
30400: t=980.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40098
30600: t=990.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40097
30800: t=1000.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40097
Time elapsed: 64.07 s

