coupled_FoFo_375_mu23e3.log @ arthur-ltf
2018-06-21T02:36:26

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 1520: t=0.076, cavg*=0.997455, r_mart=0.145957, r_aus1=0.00322518, r_fer1=0, r_aus2=0.00157531, r_fer2=0
 1540: t=0.077, cavg*=0.997434, r_mart=0.145956, r_aus1=0.00322569, r_fer1=0, r_aus2=0.00158032, r_fer2=0
 1560: t=0.078, cavg*=0.997413, r_mart=0.145955, r_aus1=0.0032262, r_fer1=0, r_aus2=0.00158532, r_fer2=0
 1580: t=0.079, cavg*=0.997392, r_mart=0.145953, r_aus1=0.0032267, r_fer1=0, r_aus2=0.00159029, r_fer2=0
 1600: t=0.080, cavg*=0.997372, r_mart=0.145952, r_aus1=0.00322721, r_fer1=0, r_aus2=0.00159524, r_fer2=0
 1620: t=0.081, cavg*=0.997352, r_mart=0.145951, r_aus1=0.00322771, r_fer1=0, r_aus2=0.00160017, r_fer2=0
 1640: t=0.082, cavg*=0.997332, r_mart=0.14595, r_aus1=0.00322821, r_fer1=0, r_aus2=0.00160508, r_fer2=0
 1660: t=0.083, cavg*=0.997312, r_mart=0.145949, r_aus1=0.00322871, r_fer1=0, r_aus2=0.00160998, r_fer2=0
 1680: t=0.084, cavg*=0.997293, r_mart=0.145948, r_aus1=0.00322921, r_fer1=0, r_aus2=0.00161485, r_fer2=0
 1700: t=0.085, cavg*=0.997273, r_mart=0.145947, r_aus1=0.0032297, r_fer1=0, r_aus2=0.00161971, r_fer2=0
 1720: t=0.086, cavg*=0.997254, r_mart=0.145946, r_aus1=0.0032302, r_fer1=0, r_aus2=0.00162455, r_fer2=0
 1740: t=0.087, cavg*=0.997235, r_mart=0.145945, r_aus1=0.00323069, r_fer1=0, r_aus2=0.00162937, r_fer2=0
 1760: t=0.088, cavg*=0.997217, r_mart=0.145944, r_aus1=0.00323118, r_fer1=0, r_aus2=0.00163417, r_fer2=0
 1780: t=0.089, cavg*=0.997198, r_mart=0.145943, r_aus1=0.00323167, r_fer1=0, r_aus2=0.00163895, r_fer2=0
 1800: t=0.090, cavg*=0.99718, r_mart=0.145942, r_aus1=0.00323216, r_fer1=0, r_aus2=0.00164372, r_fer2=0
 1820: t=0.091, cavg*=0.997162, r_mart=0.145941, r_aus1=0.00323264, r_fer1=0, r_aus2=0.00164846, r_fer2=0
