mart_FoFo_mu16e3.log @ arthur-ltf
2018-06-22T21:08:42

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 2198

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  582: t=192.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  584: t=193.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  586: t=194.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  588: t=195.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  590: t=196.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  592: t=197.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  594: t=198.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  596: t=199.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  598: t=200.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  600: t=201.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  602: t=202.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  604: t=203.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  606: t=204.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  608: t=205.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  610: t=206.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  612: t=207.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  614: t=208.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  616: t=209.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  618: t=210.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  620: t=211.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  622: t=212.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  624: t=213.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  626: t=214.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  628: t=215.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  630: t=216.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  632: t=217.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  634: t=218.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  636: t=219.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  638: t=220.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  640: t=221.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  642: t=222.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  644: t=223.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  646: t=224.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  648: t=225.000, cavg*=1, r_mart=218.176, r_aust=1.57066
