coupled_FoFo_375_mu25e3.log @ arthur-tud
2019-07-15T12:54:13

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

15200: t=220.000, cavg*=0.967968, r_mart=160.627, r_aus1=5.84274, r_fer1=0, r_aus2=12.8821, r_fer2=0
15400: t=230.000, cavg*=0.96792, r_mart=160.942, r_aus1=5.73081, r_fer1=0, r_aus2=12.7526, r_fer2=0
15600: t=240.000, cavg*=0.967873, r_mart=161.255, r_aus1=5.62358, r_fer1=0, r_aus2=12.6229, r_fer2=0
15800: t=250.000, cavg*=0.967827, r_mart=161.565, r_aus1=5.5208, r_fer1=0, r_aus2=12.4929, r_fer2=0
16000: t=260.000, cavg*=0.967781, r_mart=161.873, r_aus1=5.42224, r_fer1=0, r_aus2=12.3627, r_fer2=0
16200: t=270.000, cavg*=0.967737, r_mart=162.178, r_aus1=5.3277, r_fer1=0, r_aus2=12.2321, r_fer2=0
16400: t=280.000, cavg*=0.967693, r_mart=162.482, r_aus1=5.23696, r_fer1=0, r_aus2=12.1012, r_fer2=0
16600: t=290.000, cavg*=0.96765, r_mart=162.784, r_aus1=5.14986, r_fer1=0, r_aus2=11.9698, r_fer2=0
16800: t=300.000, cavg*=0.978956, r_mart=163.263, r_aus1=7.21046, r_fer1=0, r_aus2=11.8379, r_fer2=0
17000: t=310.000, cavg*=0.984298, r_mart=163.271, r_aus1=5.37964, r_fer1=0, r_aus2=11.7284, r_fer2=0
17200: t=320.000, cavg*=0.985787, r_mart=163.273, r_aus1=4.78565, r_fer1=0, r_aus2=11.6087, r_fer2=0
17400: t=330.000, cavg*=0.986854, r_mart=163.275, r_aus1=4.40137, r_fer1=0, r_aus2=11.4376, r_fer2=0
17600: t=340.000, cavg*=0.987733, r_mart=163.276, r_aus1=4.1137, r_fer1=0, r_aus2=11.2539, r_fer2=0
17800: t=350.000, cavg*=0.988476, r_mart=163.277, r_aus1=3.88543, r_fer1=0, r_aus2=11.0783, r_fer2=0
18000: t=360.000, cavg*=0.989112, r_mart=163.278, r_aus1=3.69896, r_fer1=0, r_aus2=10.9178, r_fer2=0
18200: t=370.000, cavg*=0.989658, r_mart=163.279, r_aus1=3.54397, r_fer1=0, r_aus2=10.7735, r_fer2=0
