mart_FoFo_mu23e3.log @ arthur-ltf
2018-06-17T07:07:29

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

17300: t=864.993, cavg*=1.00144, r_mart=24.5516, r_aust=0.51299
17400: t=869.993, cavg*=1.00144, r_mart=24.5516, r_aust=0.512873
17500: t=874.994, cavg*=1.00144, r_mart=24.5516, r_aust=0.512761
17600: t=879.994, cavg*=1.00144, r_mart=24.5516, r_aust=0.512655
17700: t=884.994, cavg*=1.00144, r_mart=24.5516, r_aust=0.512555
17800: t=889.994, cavg*=1.00144, r_mart=24.5516, r_aust=0.512459
17900: t=894.995, cavg*=1.00144, r_mart=24.5516, r_aust=0.512368
18000: t=899.995, cavg*=1.00144, r_mart=24.5516, r_aust=0.512281
18100: t=904.995, cavg*=1.00145, r_mart=24.5516, r_aust=0.512198
18200: t=909.995, cavg*=1.00145, r_mart=24.5516, r_aust=0.51212
18300: t=914.996, cavg*=1.00145, r_mart=24.5516, r_aust=0.512046
18400: t=919.996, cavg*=1.00145, r_mart=24.5516, r_aust=0.511975
18500: t=924.996, cavg*=1.00145, r_mart=24.5516, r_aust=0.511907
18600: t=929.996, cavg*=1.00145, r_mart=24.5516, r_aust=0.511843
18700: t=934.997, cavg*=1.00145, r_mart=24.5516, r_aust=0.511782
18800: t=939.997, cavg*=1.00145, r_mart=24.5516, r_aust=0.511724
18900: t=944.997, cavg*=1.00145, r_mart=24.5516, r_aust=0.511669
19000: t=949.997, cavg*=1.00145, r_mart=24.5516, r_aust=0.511617
19100: t=954.998, cavg*=1.00145, r_mart=24.5516, r_aust=0.511567
19200: t=959.998, cavg*=1.00145, r_mart=24.5516, r_aust=0.51152
19300: t=964.998, cavg*=1.00145, r_mart=24.5516, r_aust=0.511475
19400: t=969.998, cavg*=1.00145, r_mart=24.5516, r_aust=0.511432
19500: t=974.999, cavg*=1.00145, r_mart=24.5516, r_aust=0.511391
19600: t=979.999, cavg*=1.00145, r_mart=24.5516, r_aust=0.511352
19700: t=984.999, cavg*=1.00145, r_mart=24.5516, r_aust=0.511315
19800: t=989.999, cavg*=1.00145, r_mart=24.5516, r_aust=0.51128
19900: t=995.000, cavg*=1.00145, r_mart=24.5516, r_aust=0.511247
20000: t=1000.000, cavg*=1.00145, r_mart=24.5516, r_aust=0.511215
Time elapsed: 37.89 s

