coupled_FoFo_375_mu20e3.log @ arthur-tud
2019-07-15T12:50:35

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 38000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 1300: t=0.650, cavg*=0.998554, r_mart=1.45437, r_aus1=0.0138953, r_fer1=0, r_aus2=0.0101564, r_fer2=0
 1320: t=0.660, cavg*=0.998549, r_mart=1.45438, r_aus1=0.0138987, r_fer1=0, r_aus2=0.0101915, r_fer2=0
 1340: t=0.670, cavg*=0.998544, r_mart=1.4544, r_aus1=0.0139021, r_fer1=0, r_aus2=0.0102263, r_fer2=0
 1360: t=0.680, cavg*=0.998539, r_mart=1.45441, r_aus1=0.0139054, r_fer1=0, r_aus2=0.0102609, r_fer2=0
 1380: t=0.690, cavg*=0.998534, r_mart=1.45443, r_aus1=0.0139088, r_fer1=0, r_aus2=0.0102953, r_fer2=0
 1400: t=0.700, cavg*=0.99853, r_mart=1.45444, r_aus1=0.0139121, r_fer1=0, r_aus2=0.0103294, r_fer2=0
 1420: t=0.710, cavg*=0.998525, r_mart=1.45446, r_aus1=0.0139155, r_fer1=0, r_aus2=0.0103633, r_fer2=0
 1440: t=0.720, cavg*=0.99852, r_mart=1.45447, r_aus1=0.0139188, r_fer1=0, r_aus2=0.010397, r_fer2=0
 1460: t=0.730, cavg*=0.998516, r_mart=1.45448, r_aus1=0.0139222, r_fer1=0, r_aus2=0.0104304, r_fer2=0
 1480: t=0.740, cavg*=0.998511, r_mart=1.4545, r_aus1=0.0139255, r_fer1=0, r_aus2=0.0104637, r_fer2=0
 1500: t=0.750, cavg*=0.998507, r_mart=1.45451, r_aus1=0.0139288, r_fer1=0, r_aus2=0.0104967, r_fer2=0
 1520: t=0.760, cavg*=0.998503, r_mart=1.45453, r_aus1=0.0139321, r_fer1=0, r_aus2=0.0105295, r_fer2=0
 1540: t=0.770, cavg*=0.998498, r_mart=1.45454, r_aus1=0.0139354, r_fer1=0, r_aus2=0.0105621, r_fer2=0
 1560: t=0.780, cavg*=0.998494, r_mart=1.45456, r_aus1=0.0139388, r_fer1=0, r_aus2=0.0105945, r_fer2=0
 1580: t=0.790, cavg*=0.99849, r_mart=1.45457, r_aus1=0.0139421, r_fer1=0, r_aus2=0.0106267, r_fer2=0
 1600: t=0.800, cavg*=0.998486, r_mart=1.45458, r_aus1=0.0139454, r_fer1=0, r_aus2=0.0106587, r_fer2=0
 1620: t=0.810, cavg*=0.998482, r_mart=1.4546, r_aus1=0.0139486, r_fer1=0, r_aus2=0.0106905, r_fer2=0
 1640: t=0.820, cavg*=0.998478, r_mart=1.45461, r_aus1=0.0139519, r_fer1=0, r_aus2=0.0107221, r_fer2=0
 1660: t=0.830, cavg*=0.998474, r_mart=1.45463, r_aus1=0.0139552, r_fer1=0, r_aus2=0.0107536, r_fer2=0
 1680: t=0.840, cavg*=0.99847, r_mart=1.45464, r_aus1=0.0139585, r_fer1=0, r_aus2=0.0107848, r_fer2=0
 1700: t=0.850, cavg*=0.998466, r_mart=1.45465, r_aus1=0.0139618, r_fer1=0, r_aus2=0.0108159, r_fer2=0
 1720: t=0.860, cavg*=0.998462, r_mart=1.45467, r_aus1=0.013965, r_fer1=0, r_aus2=0.0108468, r_fer2=0
 1740: t=0.870, cavg*=0.998459, r_mart=1.45468, r_aus1=0.0139683, r_fer1=0, r_aus2=0.0108775, r_fer2=0
 1760: t=0.880, cavg*=0.998455, r_mart=1.4547, r_aus1=0.0139715, r_fer1=0, r_aus2=0.0109081, r_fer2=0
 1780: t=0.890, cavg*=0.998451, r_mart=1.45471, r_aus1=0.0139748, r_fer1=0, r_aus2=0.0109385, r_fer2=0
 1800: t=0.900, cavg*=0.998448, r_mart=1.45472, r_aus1=0.013978, r_fer1=0, r_aus2=0.0109687, r_fer2=0
 1820: t=0.910, cavg*=0.998444, r_mart=1.45474, r_aus1=0.0139813, r_fer1=0, r_aus2=0.0109988, r_fer2=0
 1840: t=0.920, cavg*=0.998441, r_mart=1.45475, r_aus1=0.0139845, r_fer1=0, r_aus2=0.0110288, r_fer2=0
 1860: t=0.930, cavg*=0.998437, r_mart=1.45476, r_aus1=0.0139878, r_fer1=0, r_aus2=0.0110585, r_fer2=0
 1880: t=0.940, cavg*=0.998434, r_mart=1.45478, r_aus1=0.013991, r_fer1=0, r_aus2=0.0110882, r_fer2=0
