t mart aust
1.490075e+01 1.087725e-04 5.975603e-02
1.495075e+01 1.086351e-04 5.975625e-02
1.500075e+01 1.084983e-04 5.975646e-02
1.505075e+01 1.083623e-04 5.975667e-02
1.510076e+01 1.082269e-04 5.975688e-02
1.515076e+01 1.080921e-04 5.975709e-02
1.520076e+01 1.079579e-04 5.975730e-02
1.525076e+01 1.078244e-04 5.975750e-02
1.530077e+01 1.076914e-04 5.975770e-02
1.535077e+01 1.075591e-04 5.975790e-02
1.540077e+01 1.074274e-04 5.975810e-02
1.545077e+01 1.072964e-04 5.975830e-02
1.550078e+01 1.071659e-04 5.975849e-02
1.555078e+01 1.070361e-04 5.975869e-02
1.560078e+01 1.069068e-04 5.975888e-02
1.565078e+01 1.067782e-04 5.975907e-02
1.570079e+01 1.066502e-04 5.975925e-02
1.575079e+01 1.065228e-04 5.975944e-02
1.580079e+01 1.063960e-04 5.975962e-02
1.585079e+01 1.062697e-04 5.975980e-02
1.590080e+01 1.061441e-04 5.975998e-02
1.595080e+01 1.060191e-04 5.976016e-02
1.600080e+01 1.058946e-04 5.976034e-02
1.605080e+01 1.057707e-04 5.976051e-02
1.610081e+01 1.056474e-04 5.976069e-02
1.615081e+01 1.055247e-04 5.976086e-02
1.620081e+01 1.054025e-04 5.976103e-02
1.625081e+01 1.052809e-04 5.976120e-02
1.630082e+01 1.051599e-04 5.976137e-02
1.635082e+01 1.050393e-04 5.976153e-02
1.640082e+01 1.049193e-04 5.976170e-02
1.645082e+01 1.047998e-04 5.976186e-02
1.650083e+01 1.046808e-04 5.976202e-02
1.655083e+01 1.045623e-04 5.976218e-02
1.660083e+01 1.044443e-04 5.976234e-02
1.665083e+01 1.043269e-04 5.976250e-02
1.670084e+01 1.042099e-04 5.976265e-02
1.675084e+01 1.040935e-04 5.976280e-02
1.680084e+01 1.039776e-04 5.976296e-02
1.685084e+01 1.038622e-04 5.976311e-02
1.690085e+01 1.037473e-04 5.976326e-02
1.695085e+01 1.036329e-04 5.976341e-02
1.700085e+01 1.035190e-04 5.976355e-02
1.705085e+01 1.034056e-04 5.976370e-02
1.710086e+01 1.032927e-04 5.976384e-02
1.715086e+01 1.031803e-04 5.976399e-02
1.720086e+01 1.030684e-04 5.976413e-02
1.725086e+01 1.029569e-04 5.976427e-02
1.730087e+01 1.028460e-04 5.976441e-02
1.735087e+01 1.027355e-04 5.976454e-02
1.740087e+01 1.026255e-04 5.976468e-02
1.745087e+01 1.025160e-04 5.976481e-02
1.750088e+01 1.024069e-04 5.976495e-02
1.755088e+01 1.022983e-04 5.976508e-02
1.760088e+01 1.021902e-04 5.976521e-02
1.765088e+01 1.020824e-04 5.976534e-02
1.770089e+01 1.019751e-04 5.976547e-02
1.775089e+01 1.018681e-04 5.976560e-02
1.780089e+01 1.017616e-04 5.976573e-02
1.785089e+01 1.016556e-04 5.976585e-02
1.790090e+01 1.015499e-04 5.976598e-02
1.795090e+01 1.014447e-04 5.976610e-02
1.800090e+01 1.013399e-04 5.976622e-02
1.805090e+01 1.012355e-04 5.976634e-02
1.810091e+01 1.011316e-04 5.976646e-02
1.815091e+01 1.010280e-04 5.976658e-02
1.820091e+01 1.009249e-04 5.976670e-02
1.825091e+01 1.008222e-04 5.976682e-02
1.830092e+01 1.007200e-04 5.976693e-02
1.835092e+01 1.006181e-04 5.976705e-02
1.840092e+01 1.005167e-04 5.976716e-02
1.845092e+01 1.004156e-04 5.976727e-02
1.850093e+01 1.003150e-04 5.976738e-02
1.855093e+01 1.002147e-04 5.976749e-02
1.860093e+01 1.001149e-04 5.976760e-02
1.865093e+01 1.000155e-04 5.976771e-02
1.870094e+01 9.991646e-05 5.976782e-02
1.875094e+01 9.981782e-05 5.976792e-02
1.880094e+01 9.971957e-05 5.976803e-02
1.885094e+01 9.962171e-05 5.976813e-02
1.890095e+01 9.952424e-05 5.976824e-02
1.895095e+01 9.942716e-05 5.976834e-02
1.900095e+01 9.933045e-05 5.976844e-02
1.905095e+01 9.923407e-05 5.976854e-02
1.910096e+01 9.913804e-05 5.976864e-02
1.915096e+01 9.904235e-05 5.976874e-02
1.920096e+01 9.894703e-05 5.976884e-02
1.925096e+01 9.885205e-05 5.976893e-02
1.930097e+01 9.875744e-05 5.976903e-02
1.935097e+01 9.866318e-05 5.976912e-02
1.940097e+01 9.856927e-05 5.976922e-02
1.945097e+01 9.847572e-05 5.976931e-02
1.950098e+01 9.838252e-05 5.976940e-02
1.955098e+01 9.828967e-05 5.976950e-02
1.960098e+01 9.819717e-05 5.976959e-02
1.965098e+01 9.810501e-05 5.976968e-02
1.970099e+01 9.801321e-05 5.976976e-02
1.975099e+01 9.792175e-05 5.976985e-02
1.980099e+01 9.783063e-05 5.976994e-02
1.985099e+01 9.773986e-05 5.977003e-02
1.990100e+01 9.764942e-05 5.977011e-02
1.995100e+01 9.755932e-05 5.977020e-02
2.000100e+01 9.746956e-05 5.977028e-02
2.005100e+01 9.738013e-05 5.977036e-02
2.010101e+01 9.729103e-05 5.977045e-02
2.015101e+01 9.720227e-05 5.977053e-02
2.020101e+01 9.711383e-05 5.977061e-02
2.025101e+01 9.702572e-05 5.977069e-02
2.030102e+01 9.693793e-05 5.977077e-02
2.035102e+01 9.685047e-05 5.977085e-02
2.040102e+01 9.676332e-05 5.977093e-02
2.045102e+01 9.667650e-05 5.977100e-02
