t mart.cavg aust.cavg
1.620000e-02 3.326466e-02 3.365385e-02
1.625000e-02 3.326418e-02 3.365397e-02
1.630000e-02 3.326370e-02 3.365408e-02
1.635000e-02 3.326323e-02 3.365419e-02
1.640000e-02 3.326275e-02 3.365431e-02
1.645000e-02 3.326228e-02 3.365442e-02
1.650000e-02 3.326180e-02 3.365454e-02
1.655000e-02 3.326133e-02 3.365465e-02
1.660000e-02 3.326085e-02 3.365476e-02
1.665000e-02 3.326038e-02 3.365488e-02
1.670000e-02 3.325990e-02 3.365499e-02
1.675000e-02 3.325943e-02 3.365510e-02
1.680000e-02 3.325895e-02 3.365522e-02
1.685000e-02 3.325848e-02 3.365533e-02
1.690000e-02 3.325800e-02 3.365545e-02
1.695000e-02 3.325753e-02 3.365556e-02
1.700000e-02 3.325706e-02 3.365567e-02
1.705000e-02 3.325658e-02 3.365579e-02
1.710000e-02 3.325611e-02 3.365590e-02
1.715000e-02 3.325564e-02 3.365601e-02
1.720000e-02 3.325517e-02 3.365613e-02
1.725000e-02 3.325469e-02 3.365624e-02
1.730000e-02 3.325422e-02 3.365636e-02
1.735000e-02 3.325375e-02 3.365647e-02
1.740000e-02 3.325328e-02 3.365658e-02
1.745000e-02 3.325281e-02 3.365670e-02
1.750000e-02 3.325234e-02 3.365681e-02
1.755000e-02 3.325187e-02 3.365692e-02
1.760000e-02 3.325140e-02 3.365704e-02
1.765000e-02 3.325092e-02 3.365715e-02
1.770000e-02 3.325045e-02 3.365727e-02
1.775000e-02 3.324998e-02 3.365738e-02
1.780000e-02 3.324952e-02 3.365749e-02
1.785000e-02 3.324905e-02 3.365761e-02
1.790000e-02 3.324858e-02 3.365772e-02
1.795000e-02 3.324811e-02 3.365784e-02
1.800000e-02 3.324764e-02 3.365795e-02
1.805000e-02 3.324717e-02 3.365806e-02
1.810000e-02 3.324670e-02 3.365818e-02
1.815000e-02 3.324623e-02 3.365829e-02
1.820000e-02 3.324577e-02 3.365840e-02
1.825000e-02 3.324530e-02 3.365852e-02
1.830000e-02 3.324483e-02 3.365863e-02
1.835000e-02 3.324436e-02 3.365875e-02
1.840000e-02 3.324390e-02 3.365886e-02
1.845000e-02 3.324343e-02 3.365897e-02
1.850000e-02 3.324296e-02 3.365909e-02
1.855000e-02 3.324250e-02 3.365920e-02
1.860000e-02 3.324203e-02 3.365931e-02
1.865000e-02 3.324157e-02 3.365943e-02
1.870000e-02 3.324110e-02 3.365954e-02
1.875000e-02 3.324063e-02 3.365966e-02
1.880000e-02 3.324017e-02 3.365977e-02
1.885000e-02 3.323970e-02 3.365988e-02
1.890000e-02 3.323924e-02 3.366000e-02
1.895000e-02 3.323878e-02 3.366011e-02
1.900000e-02 3.323831e-02 3.366023e-02
1.905000e-02 3.323785e-02 3.366034e-02
1.910000e-02 3.323738e-02 3.366045e-02
1.915000e-02 3.323692e-02 3.366057e-02
1.920000e-02 3.323646e-02 3.366068e-02
1.925000e-02 3.323599e-02 3.366080e-02
1.930000e-02 3.323553e-02 3.366091e-02
1.935000e-02 3.323507e-02 3.366102e-02
1.940000e-02 3.323461e-02 3.366114e-02
1.945000e-02 3.323414e-02 3.366125e-02
1.950000e-02 3.323368e-02 3.366136e-02
1.955000e-02 3.323322e-02 3.366148e-02
1.960000e-02 3.323276e-02 3.366159e-02
1.965000e-02 3.323230e-02 3.366171e-02
1.970000e-02 3.323184e-02 3.366182e-02
1.975000e-02 3.323137e-02 3.366193e-02
1.980000e-02 3.323091e-02 3.366205e-02
1.985000e-02 3.323045e-02 3.366216e-02
1.990000e-02 3.322999e-02 3.366228e-02
1.995000e-02 3.322953e-02 3.366239e-02
2.000000e-02 3.322907e-02 3.366250e-02
2.005000e-02 3.322861e-02 3.366262e-02
2.010000e-02 3.322816e-02 3.366273e-02
2.015000e-02 3.322770e-02 3.366285e-02
2.020000e-02 3.322724e-02 3.366296e-02
2.025000e-02 3.322678e-02 3.366307e-02
2.030000e-02 3.322632e-02 3.366319e-02
2.035000e-02 3.322586e-02 3.366330e-02
2.040000e-02 3.322540e-02 3.366341e-02
2.045000e-02 3.322495e-02 3.366353e-02
2.050000e-02 3.322449e-02 3.366364e-02
2.055000e-02 3.322403e-02 3.366376e-02
2.060000e-02 3.322357e-02 3.366387e-02
2.065000e-02 3.322312e-02 3.366398e-02
2.070000e-02 3.322266e-02 3.366410e-02
2.075000e-02 3.322220e-02 3.366421e-02
2.080000e-02 3.322175e-02 3.366433e-02
2.085000e-02 3.322129e-02 3.366444e-02
2.090000e-02 3.322084e-02 3.366455e-02
2.095000e-02 3.322038e-02 3.366467e-02
2.100000e-02 3.321993e-02 3.366478e-02
2.105000e-02 3.321947e-02 3.366490e-02
2.110000e-02 3.321902e-02 3.366501e-02
2.115000e-02 3.321856e-02 3.366512e-02
2.120000e-02 3.321811e-02 3.366524e-02
2.125000e-02 3.321765e-02 3.366535e-02
2.130000e-02 3.321720e-02 3.366547e-02
2.135000e-02 3.321675e-02 3.366558e-02
2.140000e-02 3.321629e-02 3.366569e-02
2.145000e-02 3.321584e-02 3.366581e-02
2.150000e-02 3.321539e-02 3.366592e-02
2.155000e-02 3.321493e-02 3.366604e-02
2.160000e-02 3.321448e-02 3.366615e-02
2.165000e-02 3.321403e-02 3.366626e-02
2.170000e-02 3.321358e-02 3.366638e-02
2.175000e-02 3.321312e-02 3.366649e-02
2.180000e-02 3.321267e-02 3.366660e-02
2.185000e-02 3.321222e-02 3.366672e-02
2.190000e-02 3.321177e-02 3.366683e-02
2.195000e-02 3.321132e-02 3.366695e-02
2.200000e-02 3.321087e-02 3.366706e-02
2.205000e-02 3.321042e-02 3.366717e-02
2.210000e-02 3.320997e-02 3.366729e-02
2.215000e-02 3.320952e-02 3.366740e-02
2.220000e-02 3.320907e-02 3.366752e-02
2.225000e-02 3.320862e-02 3.366763e-02
2.230000e-02 3.320817e-02 3.366774e-02
2.235000e-02 3.320772e-02 3.366786e-02
2.240000e-02 3.320727e-02 3.366797e-02
2.245000e-02 3.320682e-02 3.366809e-02
2.250000e-02 3.320637e-02 3.366820e-02
2.255000e-02 3.320592e-02 3.366831e-02
2.260000e-02 3.320548e-02 3.366843e-02
2.265000e-02 3.320503e-02 3.366854e-02
2.270000e-02 3.320458e-02 3.366866e-02
2.275000e-02 3.320413e-02 3.366877e-02
2.280000e-02 3.320369e-02 3.366888e-02
2.285000e-02 3.320324e-02 3.366900e-02
2.290000e-02 3.320279e-02 3.366911e-02
2.295000e-02 3.320235e-02 3.366923e-02
2.300000e-02 3.320190e-02 3.366934e-02
2.305000e-02 3.320145e-02 3.366945e-02
2.310000e-02 3.320101e-02 3.366957e-02
2.315000e-02 3.320056e-02 3.366968e-02
2.320000e-02 3.320012e-02 3.366980e-02
2.325000e-02 3.319967e-02 3.366991e-02
2.330000e-02 3.319923e-02 3.367002e-02
2.335000e-02 3.319878e-02 3.367014e-02
2.340000e-02 3.319834e-02 3.367025e-02
2.345000e-02 3.319789e-02 3.367037e-02
2.350000e-02 3.319745e-02 3.367048e-02
2.355000e-02 3.319700e-02 3.367059e-02
2.360000e-02 3.319656e-02 3.367071e-02
2.365000e-02 3.319612e-02 3.367082e-02
2.370000e-02 3.319567e-02 3.367094e-02
2.375000e-02 3.319523e-02 3.367105e-02
2.380000e-02 3.319479e-02 3.367116e-02
2.385000e-02 3.319434e-02 3.367128e-02
2.390000e-02 3.319390e-02 3.367139e-02
2.395000e-02 3.319346e-02 3.367150e-02
2.400000e-02 3.319302e-02 3.367162e-02
2.405000e-02 3.319258e-02 3.367173e-02
2.410000e-02 3.319213e-02 3.367185e-02
2.415000e-02 3.319169e-02 3.367196e-02
2.420000e-02 3.319125e-02 3.367207e-02
2.425000e-02 3.319081e-02 3.367219e-02
2.430000e-02 3.319037e-02 3.367230e-02
2.435000e-02 3.318993e-02 3.367242e-02
2.440000e-02 3.318949e-02 3.367253e-02
2.445000e-02 3.318905e-02 3.367264e-02
2.450000e-02 3.318861e-02 3.367276e-02
2.455000e-02 3.318817e-02 3.367287e-02
2.460000e-02 3.318773e-02 3.367299e-02
2.465000e-02 3.318729e-02 3.367310e-02
2.470000e-02 3.318685e-02 3.367321e-02
2.475000e-02 3.318641e-02 3.367333e-02
2.480000e-02 3.318598e-02 3.367344e-02
2.485000e-02 3.318554e-02 3.367356e-02
2.490000e-02 3.318510e-02 3.367367e-02
2.495000e-02 3.318466e-02 3.367378e-02
2.500000e-02 3.318422e-02 3.367390e-02
2.505000e-02 3.318379e-02 3.367401e-02
2.510000e-02 3.318335e-02 3.367413e-02
2.515000e-02 3.318291e-02 3.367424e-02
2.520000e-02 3.318248e-02 3.367435e-02
2.525000e-02 3.318204e-02 3.367447e-02
2.530000e-02 3.318160e-02 3.367458e-02
2.535000e-02 3.318117e-02 3.367470e-02
2.540000e-02 3.318073e-02 3.367481e-02
2.545000e-02 3.318030e-02 3.367492e-02
2.550000e-02 3.317986e-02 3.367504e-02
2.555000e-02 3.317942e-02 3.367515e-02
2.560000e-02 3.317899e-02 3.367527e-02
2.565000e-02 3.317856e-02 3.367538e-02
2.570000e-02 3.317812e-02 3.367549e-02
2.575000e-02 3.317769e-02 3.367561e-02
2.580000e-02 3.317725e-02 3.367572e-02
2.585000e-02 3.317682e-02 3.367584e-02
2.590000e-02 3.317638e-02 3.367595e-02
2.595000e-02 3.317595e-02 3.367606e-02
2.600000e-02 3.317552e-02 3.367618e-02
2.605000e-02 3.317508e-02 3.367629e-02
2.610000e-02 3.317465e-02 3.367641e-02
2.615000e-02 3.317422e-02 3.367652e-02
2.620000e-02 3.317379e-02 3.367663e-02
2.625000e-02 3.317335e-02 3.367675e-02
2.630000e-02 3.317292e-02 3.367686e-02
2.635000e-02 3.317249e-02 3.367697e-02
2.640000e-02 3.317206e-02 3.367709e-02
2.645000e-02 3.317163e-02 3.367720e-02
2.650000e-02 3.317120e-02 3.367732e-02
2.655000e-02 3.317077e-02 3.367743e-02
2.660000e-02 3.317034e-02 3.367754e-02
2.665000e-02 3.316991e-02 3.367766e-02
2.670000e-02 3.316947e-02 3.367777e-02
2.675000e-02 3.316904e-02 3.367789e-02
2.680000e-02 3.316862e-02 3.367800e-02
2.685000e-02 3.316819e-02 3.367811e-02
2.690000e-02 3.316776e-02 3.367823e-02
2.695000e-02 3.316733e-02 3.367834e-02
2.700000e-02 3.316690e-02 3.367846e-02
2.705000e-02 3.316647e-02 3.367857e-02
2.710000e-02 3.316604e-02 3.367868e-02
2.715000e-02 3.316561e-02 3.367880e-02
2.720000e-02 3.316518e-02 3.367891e-02
2.725000e-02 3.316476e-02 3.367903e-02
2.730000e-02 3.316433e-02 3.367914e-02
2.735000e-02 3.316390e-02 3.367925e-02
2.740000e-02 3.316347e-02 3.367937e-02
2.745000e-02 3.316305e-02 3.367948e-02
2.750000e-02 3.316262e-02 3.367959e-02
2.755000e-02 3.316219e-02 3.367971e-02
2.760000e-02 3.316177e-02 3.367982e-02
2.765000e-02 3.316134e-02 3.367994e-02
2.770000e-02 3.316092e-02 3.368005e-02
2.775000e-02 3.316049e-02 3.368016e-02
2.780000e-02 3.316006e-02 3.368028e-02
2.785000e-02 3.315964e-02 3.368039e-02
2.790000e-02 3.315921e-02 3.368051e-02
2.795000e-02 3.315879e-02 3.368062e-02
2.800000e-02 3.315836e-02 3.368073e-02
2.805000e-02 3.315794e-02 3.368085e-02
2.810000e-02 3.315752e-02 3.368096e-02
