t mart aus1 fer1 aus2 fer2
5.800290e-01 3.139642e-02 3.617945e-02 3.005647e-05 3.515063e-02 3.003784e-05
5.850293e-01 3.138864e-02 3.619410e-02 3.009142e-05 3.516345e-02 3.007308e-05
5.900295e-01 3.138089e-02 3.620869e-02 3.012592e-05 3.517623e-02 3.010786e-05
5.950298e-01 3.137317e-02 3.622324e-02 3.015997e-05 3.518898e-02 3.014218e-05
6.000300e-01 3.136548e-02 3.623774e-02 3.019359e-05 3.520169e-02 3.017606e-05
6.050303e-01 3.135783e-02 3.625218e-02 3.022678e-05 3.521437e-02 3.020950e-05
6.100305e-01 3.135021e-02 3.626658e-02 3.025954e-05 3.522701e-02 3.024251e-05
6.150308e-01 3.134262e-02 3.628092e-02 3.029190e-05 3.523962e-02 3.027511e-05
6.200310e-01 3.133506e-02 3.629522e-02 3.032386e-05 3.525220e-02 3.030730e-05
6.250313e-01 3.132753e-02 3.630947e-02 3.035543e-05 3.526474e-02 3.033910e-05
6.300315e-01 3.132004e-02 3.632367e-02 3.038662e-05 3.527726e-02 3.037050e-05
6.350318e-01 3.131257e-02 3.633782e-02 3.041742e-05 3.528974e-02 3.040152e-05
6.400320e-01 3.130513e-02 3.635193e-02 3.044786e-05 3.530218e-02 3.043217e-05
6.450323e-01 3.129772e-02 3.636599e-02 3.047794e-05 3.531460e-02 3.046245e-05
6.500325e-01 3.129034e-02 3.638000e-02 3.050767e-05 3.532698e-02 3.049237e-05
6.550328e-01 3.128299e-02 3.639397e-02 3.053704e-05 3.533933e-02 3.052194e-05
6.600330e-01 3.127567e-02 3.640790e-02 3.056608e-05 3.535165e-02 3.055116e-05
6.650333e-01 3.126837e-02 3.642178e-02 3.059479e-05 3.536394e-02 3.058005e-05
6.700335e-01 3.126110e-02 3.643561e-02 3.062316e-05 3.537620e-02 3.060861e-05
6.750338e-01 3.125386e-02 3.644941e-02 3.065122e-05 3.538843e-02 3.063683e-05
6.800340e-01 3.124665e-02 3.646316e-02 3.067896e-05 3.540063e-02 3.066475e-05
6.850343e-01 3.123946e-02 3.647686e-02 3.070640e-05 3.541280e-02 3.069234e-05
6.900345e-01 3.123230e-02 3.649053e-02 3.073353e-05 3.542494e-02 3.071963e-05
6.950348e-01 3.122516e-02 3.650415e-02 3.076036e-05 3.543705e-02 3.074662e-05
7.000350e-01 3.121805e-02 3.651773e-02 3.078690e-05 3.544913e-02 3.077332e-05
7.050353e-01 3.121097e-02 3.653127e-02 3.081314e-05 3.546118e-02 3.079972e-05
7.100355e-01 3.120391e-02 3.654477e-02 3.083898e-05 3.547321e-02 3.082578e-05
7.150358e-01 3.119688e-02 3.655823e-02 3.086448e-05 3.548520e-02 3.085148e-05
7.200360e-01 3.118987e-02 3.657165e-02 3.088970e-05 3.549717e-02 3.087686e-05
7.250363e-01 3.118288e-02 3.658503e-02 3.091465e-05 3.550911e-02 3.090196e-05
7.300365e-01 3.117592e-02 3.659837e-02 3.093933e-05 3.552102e-02 3.092678e-05
7.350368e-01 3.116898e-02 3.661167e-02 3.096375e-05 3.553291e-02 3.095133e-05
7.400370e-01 3.116207e-02 3.662494e-02 3.098792e-05 3.554476e-02 3.097563e-05
7.450373e-01 3.115518e-02 3.663816e-02 3.101185e-05 3.555659e-02 3.099967e-05
7.500375e-01 3.114832e-02 3.665135e-02 3.103552e-05 3.556840e-02 3.102347e-05
7.550378e-01 3.114147e-02 3.666450e-02 3.105896e-05 3.558017e-02 3.104702e-05
7.600380e-01 3.113465e-02 3.667761e-02 3.108215e-05 3.559192e-02 3.107033e-05
7.650383e-01 3.112785e-02 3.669069e-02 3.110512e-05 3.560365e-02 3.109341e-05
7.700385e-01 3.112108e-02 3.670373e-02 3.112786e-05 3.561534e-02 3.111626e-05
7.750388e-01 3.111432e-02 3.671673e-02 3.115037e-05 3.562702e-02 3.113888e-05
7.800390e-01 3.110759e-02 3.672970e-02 3.117266e-05 3.563866e-02 3.116128e-05
7.850393e-01 3.110088e-02 3.674264e-02 3.119474e-05 3.565028e-02 3.118345e-05
7.900395e-01 3.109419e-02 3.675553e-02 3.121660e-05 3.566188e-02 3.120542e-05
7.950398e-01 3.108753e-02 3.676840e-02 3.123825e-05 3.567345e-02 3.122717e-05
8.000400e-01 3.108088e-02 3.678123e-02 3.125970e-05 3.568499e-02 3.124871e-05
8.050403e-01 3.107425e-02 3.679402e-02 3.128094e-05 3.569651e-02 3.127005e-05
8.100405e-01 3.106765e-02 3.680678e-02 3.130199e-05 3.570801e-02 3.129119e-05
8.150408e-01 3.106106e-02 3.681951e-02 3.132284e-05 3.571948e-02 3.131213e-05
8.200410e-01 3.105450e-02 3.683221e-02 3.134349e-05 3.573093e-02 3.133287e-05
8.250413e-01 3.104795e-02 3.684487e-02 3.136395e-05 3.574236e-02 3.135342e-05
8.300415e-01 3.104143e-02 3.685750e-02 3.138423e-05 3.575376e-02 3.137378e-05
8.350418e-01 3.103493e-02 3.687009e-02 3.140432e-05 3.576514e-02 3.139396e-05
8.400420e-01 3.102844e-02 3.688266e-02 3.142423e-05 3.577649e-02 3.141395e-05
8.450423e-01 3.102198e-02 3.689519e-02 3.144396e-05 3.578782e-02 3.143376e-05
8.500425e-01 3.101553e-02 3.690769e-02 3.146352e-05 3.579913e-02 3.145339e-05
8.550428e-01 3.100910e-02 3.692016e-02 3.148290e-05 3.581042e-02 3.147285e-05
8.600430e-01 3.100269e-02 3.693260e-02 3.150211e-05 3.582168e-02 3.149214e-05
8.650433e-01 3.099630e-02 3.694500e-02 3.152115e-05 3.583292e-02 3.151125e-05
8.700435e-01 3.098993e-02 3.695738e-02 3.154002e-05 3.584414e-02 3.153020e-05
8.750438e-01 3.098358e-02 3.696973e-02 3.155874e-05 3.585533e-02 3.154899e-05
8.800440e-01 3.097724e-02 3.698204e-02 3.157729e-05 3.586651e-02 3.156761e-05
8.850443e-01 3.097093e-02 3.699433e-02 3.159568e-05 3.587766e-02 3.158607e-05
8.900445e-01 3.096463e-02 3.700659e-02 3.161392e-05 3.588879e-02 3.160438e-05
8.950448e-01 3.095835e-02 3.701882e-02 3.163200e-05 3.589990e-02 3.162252e-05
9.000450e-01 3.095208e-02 3.703101e-02 3.164993e-05 3.591099e-02 3.164052e-05
9.050453e-01 3.094584e-02 3.704318e-02 3.166771e-05 3.592206e-02 3.165836e-05
9.100455e-01 3.093961e-02 3.705532e-02 3.168534e-05 3.593311e-02 3.167606e-05
9.150458e-01 3.093340e-02 3.706744e-02 3.170283e-05 3.594413e-02 3.169361e-05
9.200460e-01 3.092720e-02 3.707952e-02 3.172017e-05 3.595514e-02 3.171101e-05
9.250463e-01 3.092103e-02 3.709158e-02 3.173737e-05 3.596612e-02 3.172827e-05
9.300465e-01 3.091486e-02 3.710361e-02 3.175443e-05 3.597709e-02 3.174539e-05
9.350468e-01 3.090872e-02 3.711561e-02 3.177135e-05 3.598803e-02 3.176237e-05
9.400470e-01 3.090259e-02 3.712758e-02 3.178814e-05 3.599896e-02 3.177922e-05
9.450473e-01 3.089648e-02 3.713953e-02 3.180479e-05 3.600986e-02 3.179593e-05
9.500475e-01 3.089039e-02 3.715145e-02 3.182126e-05 3.602075e-02 3.181250e-05
9.550478e-01 3.088431e-02 3.716334e-02 3.183752e-05 3.603161e-02 3.182888e-05
9.600480e-01 3.087824e-02 3.717520e-02 3.185360e-05 3.604246e-02 3.184504e-05
9.650483e-01 3.087220e-02 3.718704e-02 3.186955e-05 3.605328e-02 3.186105e-05
9.700485e-01 3.086617e-02 3.719886e-02 3.188536e-05 3.606409e-02 3.187692e-05
9.750488e-01 3.086015e-02 3.721064e-02 3.190105e-05 3.607488e-02 3.189266e-05
9.800490e-01 3.085415e-02 3.722241e-02 3.191660e-05 3.608564e-02 3.190827e-05
9.850493e-01 3.084816e-02 3.723414e-02 3.193204e-05 3.609639e-02 3.192375e-05
9.900495e-01 3.084219e-02 3.724585e-02 3.194735e-05 3.610712e-02 3.193911e-05
9.950498e-01 3.083624e-02 3.725754e-02 3.196254e-05 3.611784e-02 3.195435e-05
1.000050e+00 3.083030e-02 3.726920e-02 3.197761e-05 3.612853e-02 3.196947e-05
1.005050e+00 3.082437e-02 3.728083e-02 3.199256e-05 3.613920e-02 3.198447e-05
1.010051e+00 3.081846e-02 3.729244e-02 3.200740e-05 3.614986e-02 3.199936e-05
1.015051e+00 3.081257e-02 3.730403e-02 3.202213e-05 3.616050e-02 3.201413e-05
1.020051e+00 3.080669e-02 3.731559e-02 3.203674e-05 3.617112e-02 3.202879e-05
1.025051e+00 3.080082e-02 3.732713e-02 3.205125e-05 3.618172e-02 3.204334e-05
1.030052e+00 3.079497e-02 3.733864e-02 3.206565e-05 3.619231e-02 3.205778e-05
1.035052e+00 3.078913e-02 3.735013e-02 3.207993e-05 3.620288e-02 3.207211e-05
1.040052e+00 3.078331e-02 3.736159e-02 3.209412e-05 3.621342e-02 3.208634e-05
1.045052e+00 3.077750e-02 3.737304e-02 3.210820e-05 3.622396e-02 3.210046e-05
1.050053e+00 3.077170e-02 3.738445e-02 3.212218e-05 3.623447e-02 3.211448e-05
1.055053e+00 3.076592e-02 3.739585e-02 3.213605e-05 3.624497e-02 3.212839e-05
1.060053e+00 3.076015e-02 3.740722e-02 3.214983e-05 3.625545e-02 3.214221e-05
1.065053e+00 3.075440e-02 3.741857e-02 3.216350e-05 3.626591e-02 3.215592e-05
1.070054e+00 3.074866e-02 3.742990e-02 3.217708e-05 3.627636e-02 3.216954e-05
1.075054e+00 3.074293e-02 3.744120e-02 3.219057e-05 3.628679e-02 3.218306e-05
1.080054e+00 3.073722e-02 3.745248e-02 3.220395e-05 3.629721e-02 3.219648e-05
1.085054e+00 3.073152e-02 3.746374e-02 3.221725e-05 3.630760e-02 3.220981e-05
1.090055e+00 3.072583e-02 3.747498e-02 3.223045e-05 3.631798e-02 3.222305e-05
