t mart aust
1.035518e-01 1.955627e-02 4.234526e-02
1.040520e-01 1.952304e-02 4.236979e-02
1.045523e-01 1.948990e-02 4.239432e-02
1.050525e-01 1.945684e-02 4.241881e-02
1.055528e-01 1.942386e-02 4.244325e-02
1.060530e-01 1.939095e-02 4.246762e-02
1.065533e-01 1.935813e-02 4.249189e-02
1.070535e-01 1.932539e-02 4.251605e-02
1.075538e-01 1.929272e-02 4.254012e-02
1.080540e-01 1.926014e-02 4.256412e-02
1.085543e-01 1.922763e-02 4.258807e-02
1.090545e-01 1.919519e-02 4.261198e-02
1.095548e-01 1.916284e-02 4.263589e-02
1.100550e-01 1.913056e-02 4.265978e-02
1.105553e-01 1.909835e-02 4.268365e-02
1.110555e-01 1.906622e-02 4.270748e-02
1.115558e-01 1.903417e-02 4.273124e-02
1.120560e-01 1.900219e-02 4.275493e-02
1.125563e-01 1.897028e-02 4.277852e-02
1.130565e-01 1.893844e-02 4.280202e-02
1.135568e-01 1.890668e-02 4.282545e-02
1.140570e-01 1.887500e-02 4.284881e-02
1.145573e-01 1.884338e-02 4.287214e-02
1.150575e-01 1.881184e-02 4.289545e-02
1.155578e-01 1.878036e-02 4.291875e-02
1.160580e-01 1.874896e-02 4.294203e-02
1.165583e-01 1.871763e-02 4.296528e-02
1.170585e-01 1.868637e-02 4.298848e-02
1.175588e-01 1.865517e-02 4.301162e-02
1.180590e-01 1.862405e-02 4.303468e-02
1.185593e-01 1.859300e-02 4.305765e-02
1.190595e-01 1.856201e-02 4.308055e-02
1.195598e-01 1.853110e-02 4.310338e-02
1.200600e-01 1.850025e-02 4.312617e-02
1.205603e-01 1.846947e-02 4.314892e-02
1.210605e-01 1.843875e-02 4.317165e-02
1.215608e-01 1.840810e-02 4.319436e-02
1.220610e-01 1.837752e-02 4.321706e-02
1.225613e-01 1.834701e-02 4.323972e-02
1.230615e-01 1.831656e-02 4.326234e-02
1.235618e-01 1.828618e-02 4.328489e-02
1.240620e-01 1.825586e-02 4.330738e-02
1.245623e-01 1.822560e-02 4.332979e-02
1.250625e-01 1.819542e-02 4.335213e-02
1.255628e-01 1.816529e-02 4.337441e-02
1.260630e-01 1.813523e-02 4.339664e-02
1.265633e-01 1.810523e-02 4.341884e-02
1.270635e-01 1.807530e-02 4.344102e-02
1.275638e-01 1.804543e-02 4.346318e-02
1.280640e-01 1.801562e-02 4.348532e-02
1.285643e-01 1.798587e-02 4.350743e-02
1.290645e-01 1.795619e-02 4.352950e-02
1.295648e-01 1.792656e-02 4.355152e-02
1.300650e-01 1.789700e-02 4.357347e-02
1.305653e-01 1.786750e-02 4.359536e-02
1.310655e-01 1.783806e-02 4.361718e-02
1.315658e-01 1.780868e-02 4.363894e-02
1.320660e-01 1.777937e-02 4.366065e-02
1.325663e-01 1.775011e-02 4.368233e-02
1.330665e-01 1.772091e-02 4.370398e-02
1.335668e-01 1.769177e-02 4.372561e-02
1.340670e-01 1.766269e-02 4.374722e-02
1.345673e-01 1.763367e-02 4.376881e-02
1.350675e-01 1.760471e-02 4.379036e-02
1.355678e-01 1.757581e-02 4.381187e-02
1.360680e-01 1.754696e-02 4.383332e-02
1.365683e-01 1.751817e-02 4.385472e-02
1.370685e-01 1.748944e-02 4.387605e-02
1.375688e-01 1.746077e-02 4.389733e-02
1.380690e-01 1.743216e-02 4.391855e-02
1.385693e-01 1.740360e-02 4.393973e-02
1.390695e-01 1.737510e-02 4.396088e-02
1.395698e-01 1.734666e-02 4.398201e-02
1.400700e-01 1.731827e-02 4.400312e-02
1.405703e-01 1.728994e-02 4.402420e-02
1.410705e-01 1.726166e-02 4.404526e-02
1.415708e-01 1.723344e-02 4.406628e-02
1.420710e-01 1.720528e-02 4.408726e-02
1.425713e-01 1.717717e-02 4.410819e-02
1.430715e-01 1.714912e-02 4.412906e-02
1.435718e-01 1.712112e-02 4.414988e-02
1.440720e-01 1.709317e-02 4.417064e-02
1.445723e-01 1.706528e-02 4.419136e-02
1.450725e-01 1.703745e-02 4.421204e-02
1.455728e-01 1.700966e-02 4.423269e-02
1.460730e-01 1.698194e-02 4.425331e-02
1.465733e-01 1.695426e-02 4.427392e-02
1.470735e-01 1.692664e-02 4.429450e-02
1.475738e-01 1.689907e-02 4.431505e-02
1.480740e-01 1.687156e-02 4.433557e-02
1.485743e-01 1.684410e-02 4.435605e-02
1.490745e-01 1.681669e-02 4.437649e-02
1.495748e-01 1.678933e-02 4.439687e-02
1.500750e-01 1.676202e-02 4.441720e-02
1.505753e-01 1.673477e-02 4.443749e-02
1.510755e-01 1.670757e-02 4.445772e-02
1.515758e-01 1.668042e-02 4.447792e-02
1.520760e-01 1.665332e-02 4.449809e-02
1.525763e-01 1.662627e-02 4.451823e-02
1.530765e-01 1.659928e-02 4.453835e-02
1.535768e-01 1.657233e-02 4.455845e-02
1.540770e-01 1.654544e-02 4.457852e-02
1.545773e-01 1.651860e-02 4.459857e-02
1.550775e-01 1.649180e-02 4.461857e-02
1.555778e-01 1.646506e-02 4.463854e-02
1.560780e-01 1.643837e-02 4.465846e-02
1.565783e-01 1.641173e-02 4.467833e-02
1.570785e-01 1.638513e-02 4.469816e-02
1.575788e-01 1.635859e-02 4.471794e-02
1.580790e-01 1.633210e-02 4.473768e-02
1.585793e-01 1.630565e-02 4.475739e-02
1.590795e-01 1.627926e-02 4.477707e-02
1.595798e-01 1.625291e-02 4.479672e-02
1.600800e-01 1.622661e-02 4.481636e-02
1.605803e-01 1.620036e-02 4.483597e-02
1.610805e-01 1.617416e-02 4.485555e-02
1.615808e-01 1.614801e-02 4.487511e-02
1.620810e-01 1.612191e-02 4.489462e-02
1.625813e-01 1.609585e-02 4.491410e-02
1.630815e-01 1.606984e-02 4.493353e-02
1.635818e-01 1.604388e-02 4.495292e-02
1.640820e-01 1.601797e-02 4.497227e-02
1.645823e-01 1.599210e-02 4.499158e-02
1.650825e-01 1.596629e-02 4.501084e-02
1.655828e-01 1.594052e-02 4.503008e-02
1.660830e-01 1.591479e-02 4.504929e-02
1.665833e-01 1.588911e-02 4.506848e-02
1.670835e-01 1.586348e-02 4.508765e-02
1.675838e-01 1.583790e-02 4.510679e-02
1.680840e-01 1.581236e-02 4.512591e-02
1.685843e-01 1.578687e-02 4.514499e-02
1.690845e-01 1.576143e-02 4.516404e-02
1.695848e-01 1.573603e-02 4.518305e-02
1.700850e-01 1.571068e-02 4.520203e-02
1.705853e-01 1.568537e-02 4.522096e-02
1.710855e-01 1.566011e-02 4.523985e-02
1.715858e-01 1.563489e-02 4.525870e-02
1.720860e-01 1.560972e-02 4.527752e-02
1.725863e-01 1.558460e-02 4.529630e-02
1.730865e-01 1.555952e-02 4.531506e-02
1.735868e-01 1.553448e-02 4.533380e-02
1.740870e-01 1.550949e-02 4.535251e-02
1.745873e-01 1.548455e-02 4.537120e-02
1.750875e-01 1.545965e-02 4.538987e-02
1.755878e-01 1.543479e-02 4.540850e-02
1.760880e-01 1.540998e-02 4.542711e-02
1.765883e-01 1.538521e-02 4.544568e-02
1.770885e-01 1.536049e-02 4.546421e-02
1.775888e-01 1.533581e-02 4.548270e-02
1.780890e-01 1.531118e-02 4.550116e-02
1.785893e-01 1.528659e-02 4.551957e-02
1.790895e-01 1.526204e-02 4.553796e-02
1.795898e-01 1.523754e-02 4.555631e-02
1.800900e-01 1.521308e-02 4.557463e-02
1.805903e-01 1.518866e-02 4.559293e-02
1.810905e-01 1.516428e-02 4.561121e-02
1.815908e-01 1.513995e-02 4.562946e-02
1.820910e-01 1.511567e-02 4.564769e-02
1.825913e-01 1.509142e-02 4.566590e-02
1.830915e-01 1.506722e-02 4.568407e-02
1.835918e-01 1.504306e-02 4.570221e-02
1.840920e-01 1.501894e-02 4.572032e-02
1.845923e-01 1.499487e-02 4.573839e-02
1.850925e-01 1.497084e-02 4.575643e-02
1.855928e-01 1.494685e-02 4.577443e-02
1.860930e-01 1.492290e-02 4.579239e-02
1.865933e-01 1.489900e-02 4.581033e-02
1.870935e-01 1.487513e-02 4.582823e-02
1.875938e-01 1.485131e-02 4.584611e-02
1.880940e-01 1.482753e-02 4.586397e-02
1.885943e-01 1.480379e-02 4.588180e-02
1.890945e-01 1.478010e-02 4.589961e-02
1.895948e-01 1.475644e-02 4.591739e-02
1.900950e-01 1.473283e-02 4.593515e-02
1.905953e-01 1.470926e-02 4.595288e-02
1.910955e-01 1.468572e-02 4.597058e-02
1.915958e-01 1.466223e-02 4.598825e-02
1.920960e-01 1.463878e-02 4.600588e-02
1.925963e-01 1.461538e-02 4.602348e-02
1.930965e-01 1.459201e-02 4.604104e-02
1.935968e-01 1.456868e-02 4.605857e-02
1.940970e-01 1.454540e-02 4.607607e-02
1.945973e-01 1.452215e-02 4.609355e-02
1.950975e-01 1.449894e-02 4.611099e-02
1.955978e-01 1.447578e-02 4.612842e-02
1.960980e-01 1.445265e-02 4.614582e-02
1.965983e-01 1.442957e-02 4.616320e-02
1.970985e-01 1.440652e-02 4.618055e-02
1.975988e-01 1.438352e-02 4.619788e-02
1.980990e-01 1.436055e-02 4.621518e-02
1.985993e-01 1.433763e-02 4.623245e-02
1.990995e-01 1.431474e-02 4.624970e-02
1.995998e-01 1.429189e-02 4.626690e-02
2.001001e-01 1.426909e-02 4.628408e-02
2.006003e-01 1.424632e-02 4.630123e-02
2.011006e-01 1.422359e-02 4.631834e-02
2.016008e-01 1.420090e-02 4.633542e-02
2.021011e-01 1.417825e-02 4.635248e-02
2.026013e-01 1.415564e-02 4.636951e-02
2.031016e-01 1.413307e-02 4.638651e-02
2.036018e-01 1.411053e-02 4.640350e-02
2.041021e-01 1.408804e-02 4.642046e-02
2.046023e-01 1.406558e-02 4.643740e-02
2.051026e-01 1.404317e-02 4.645431e-02
2.056028e-01 1.402079e-02 4.647120e-02
2.061031e-01 1.399845e-02 4.648806e-02
2.066033e-01 1.397615e-02 4.650489e-02
2.071036e-01 1.395388e-02 4.652169e-02
2.076038e-01 1.393166e-02 4.653846e-02
2.081041e-01 1.390947e-02 4.655520e-02
2.086043e-01 1.388732e-02 4.657191e-02
